,0
462,226.1168
463,226.1577
464,227.0792
465,227.0873
466,227.1117
467,227.1503
468,227.2124
469,227.2168
470,228.0478
471,228.079
472,228.0972
473,228.1718
474,228.1989
475,229.0453
476,229.0782
477,229.1026
478,229.1548
479,229.1979
480,230.0651
481,231.0814
482,231.1211
483,231.1326
484,231.9388
485,232.0779
486,232.1072
487,232.1266
488,233.0575
489,233.0961
490,233.1105
491,233.1402
492,233.1602
493,234.065
494,234.0836
495,234.123
496,234.1605
497,235.0734
498,235.1042
499,235.1663
500,235.1818
501,236.064
502,236.0793
503,236.0992
504,236.1119
505,236.1464
506,236.3718
507,236.8675
508,237.0506
509,237.0715
510,237.0897
511,237.1043
512,237.1228
513,237.186
514,238.0419
515,238.0564
516,238.0795
517,238.1116
518,238.1618
519,239.0503
520,239.0724
521,239.086
522,239.0941
523,239.1115
524,239.1512
525,239.1982
526,239.2334
527,239.2474
528,239.2549
529,239.2627
530,240.0455
531,240.0703
532,240.1184
533,240.1315
534,240.1476
535,240.1574
536,240.2419
537,241.0491
538,241.0955
539,241.1181
540,241.135
541,241.2129
542,241.2273
543,242.0913
544,242.1109
545,242.1881
546,242.2087
547,243.0506
548,243.0832
549,243.0997
550,243.1246
551,243.1473
552,243.1924
553,244.0721
554,244.1018
555,245.093
556,245.1116
557,246.0717
558,246.0872
559,247.0936
560,247.107
561,248.0711
562,248.0818
563,248.0975
564,249.0556
565,249.0894
566,249.1245
567,249.1599
568,250.0427
569,250.083
570,250.1018
571,250.1186
572,250.1448
573,251.1315
574,251.1525
575,251.2004
576,252.0663
577,252.0837
578,252.1294
579,252.1537
580,253.089
581,253.2273
582,253.2334
583,254.0745
584,254.1031
585,254.1521
586,254.2038
587,254.2194
588,254.2339
589,254.2403
590,255.0604
591,255.1195
592,255.152
593,255.2278
594,255.2398
595,255.2577
596,255.3727
597,255.5096
598,255.6549
599,256.0231
600,256.0529
601,256.0813
602,256.098
603,256.1138
604,256.1207
605,256.1326
606,256.2319
607,256.2466
608,256.2533
609,256.2629
610,256.4489
611,257.0381
612,257.0839
613,257.1206
614,257.144
615,257.1592
616,257.2346
617,257.2574
618,258.0522
619,258.0854
620,258.1026
621,258.1146
622,258.1279
623,258.1487
624,258.166
625,259.0503
626,259.0681
627,259.0828
628,259.1045
629,259.1281
630,259.1486
631,259.2415
632,259.2559
633,259.271
634,260.0372
635,260.0776
636,260.0991
637,260.1215
638,260.1553
639,260.2453
640,261.0869
641,261.1517
642,262.0784
643,262.1081
644,262.1176
645,262.1638
646,263.0724
647,263.0798
648,263.0987
649,263.1156
650,263.1599
651,263.1776
652,263.1919
653,264.0797
654,264.0944
655,264.1202
656,264.1429
657,264.1609
658,264.1787
659,265.0475
660,265.0714
661,265.1067
662,265.1236
663,265.2216
664,265.2589
665,266.0385
666,266.129
667,266.1486
668,267.0666
669,267.0877
670,267.1044
671,267.1284
672,267.1444
673,267.1628
674,267.1819
675,267.2291
676,267.2663
677,267.283
678,268.0499
679,268.1248
680,268.1575
681,268.1729
682,269.1209
683,269.1409
684,269.1655
685,269.2457
686,270.095
687,270.1214
688,270.1668
689,271.0994
690,271.1205
691,271.1763
692,271.2048
693,271.2203
694,271.2358
695,271.2442
696,272.0768
697,272.0966
698,272.1067
699,272.1278
700,273.0876
701,274.0534
702,274.0987
703,274.1177
704,274.1358
705,275.089
706,275.1067
707,275.1226
708,275.1319
709,275.1616
710,276.0934
711,276.1341
712,276.1757
713,277.06
714,277.0865
715,277.0975
716,277.1126
717,277.1291
718,277.1463
719,277.1714
720,277.2176
721,277.235
722,277.2483
723,277.2701
724,278.0613
725,278.0815
726,278.1081
727,278.1312
728,278.1624
729,278.2257
730,279.022
731,279.0368
732,279.0544
733,279.0799
734,279.0954
735,279.1427
736,279.16
737,279.2324
738,280.0356
739,280.1039
740,280.1211
741,280.1355
742,280.1678
743,280.2162
744,280.2342
745,281.0196
746,281.0351
747,281.0655
748,281.1057
749,281.1209
750,281.1402
751,281.1504
752,281.1696
753,281.1921
754,281.2195
755,281.2268
756,281.2436
757,281.2579
758,281.3002
759,281.3406
760,281.3914
761,281.5077
762,282.0583
763,282.0729
764,282.0892
765,282.1114
766,282.1304
767,282.1571
768,282.1858
769,282.2316
770,282.2481
771,282.2646
772,283.0644
773,283.0929
774,283.1369
775,283.1542
776,283.176
777,283.2386
778,283.2598
779,283.2758
780,284.0675
781,284.1084
782,284.1236
783,284.1673
784,284.1832
785,284.2518
786,284.267
787,284.2823
788,284.3023
789,284.518
790,285.1013
791,285.1924
792,285.2438
793,285.263
794,285.2822
795,287.1006
796,287.1275
797,288.1325
798,289.1172
799,289.1735
800,290.1508
801,291.0641
802,291.0849
803,291.1046
804,291.1221
805,291.142
806,291.1916
807,292.0955
808,292.1112
809,292.1394
810,292.1539
811,292.1828
812,293.0937
813,293.1332
814,293.1503
815,293.1715
816,293.1907
817,293.2107
818,293.2536
819,294.0679
820,294.0905
821,294.1143
822,294.1351
823,294.152
824,294.1652
825,294.1907
826,295.0345
827,295.1133
828,295.1347
829,295.1521
830,295.2244
831,295.2408
832,295.2641
833,296.062
834,296.1317
835,297.0475
836,297.1511
837,297.1642
838,297.2387
839,297.2569
840,298.0672
841,298.108
842,298.1201
843,298.1299
844,298.1489
845,298.1692
846,299.0885
847,299.1213
848,299.1395
849,299.1865
850,299.2092
851,299.2595
852,300.0862
853,300.1123
854,300.1454
855,300.1699
856,301.0646
857,301.1038
858,301.1232
859,301.1458
860,301.2144
861,301.2407
862,302.0621
863,302.1123
864,302.1211
865,302.1319
866,302.1468
867,302.1582
868,303.0977
869,303.1179
870,303.1392
871,303.214
872,303.2303
873,304.059
874,304.0914
875,304.1081
876,304.1203
877,304.1354
878,304.1472
879,304.1604
880,304.2134
881,304.234
882,304.2522
883,304.2626
884,305.0365
885,305.0554
886,305.0816
887,305.1002
888,305.1159
889,305.1239
890,305.1351
891,305.1552
892,305.2323
893,305.2505
894,305.3578
895,306.0608
896,306.087
897,306.1056
898,306.1273
899,306.1514
900,306.2087
901,306.233
902,306.2521
903,306.2676
904,307.0615
905,307.0855
906,307.1062
907,307.1285
908,307.148
909,307.1806
910,307.2055
911,307.251
912,308.096
913,308.1164
914,308.1393
915,308.1695
916,308.2007
917,308.2814
918,309.0487
919,309.1084
920,309.1408
921,309.1623
922,309.1934
923,309.2086
924,309.2797
925,309.3141
926,310.0773
927,310.0943
928,310.1349
929,310.15
930,310.2822
931,311.0982
932,311.1487
933,311.1661
934,311.1827
935,311.2157
936,311.2954
937,312.094
938,312.1279
939,312.1438
940,312.1645
941,312.1887
942,313.1132
943,313.13
944,313.1439
945,313.1658
946,313.1858
947,313.2295
948,314.1143
949,314.1567
950,315.1172
951,315.1777
952,316.1158
953,316.1394
954,316.1695
955,317.059
956,317.0986
957,317.1154
958,317.1338
959,317.1755
960,317.2119
961,318.0585
962,318.1198
963,318.1511
964,318.1834
965,319.0969
966,319.1158
967,319.1343
968,319.1774
969,319.2223
970,320.0683
971,320.0967
972,320.1193
973,320.1646
974,320.2278
975,321.1176
976,321.1389
977,321.1582
978,321.202
979,321.2476
980,321.2773
981,322.1186
982,322.1376
983,322.1908
984,323.1038
985,323.135
986,323.1681
987,323.1902
988,323.2126
989,324.1195
990,324.1399
991,324.158
992,324.1848
993,324.7832
994,324.9666
995,325.0065
996,325.1807
997,325.2012
998,325.9791
999,326.067
1000,326.0856
1001,326.1004
1002,326.1129
1003,326.1441
1004,326.1973
1005,327.0953
1006,327.1112
1007,327.1283
1008,327.1483
1009,327.1758
1010,327.2175
1011,327.2353
1012,327.2525
1013,327.2611
1014,328.0822
1015,328.1294
1016,328.2372
1017,328.2551
1018,329.1051
1019,329.1263
1020,329.1481
1021,329.228
1022,329.2477
1023,329.2666
1024,330.067
1025,330.1049
